a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a21,target
3,-0.7829522684868152,4,7,-0.4369078947047709,0,3,-0.8701833340815202,2,0,0.1405047057619635,0,1.220320786407074,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
3,-0.7829522684868152,4,0,-0.8216206522526244,0,4,0.9184771676276685,2,0,1.0469866784197936,0,2.3013269087918147,2,1,1.054769788484074,1,0.0,0,-0.6546536707079773,0
3,-1.0657085951342746,2,5,-0.8303121414243356,0,1,-1.7645135849361147,1,0,1.0469866784197936,0,-1.1218591454265303,2,0,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
3,0.34807303810302276,2,4,-0.8110993758868685,0,4,0.9184771676276685,2,0,-1.6724592395536968,0,0.04923082049027188,2,1,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
0,-1.3484649217817342,2,0,-0.7671844832298008,4,0,0.9184771676276685,1,0,0.1405047057619635,1,2.6166203611540304,2,1,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
2,-0.9714564862517882,2,0,0.41074102293633763,0,1,-1.7645135849361147,2,2,-1.6724592395536968,1,0.13931466402233358,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
3,-0.7829522684868152,2,0,-0.3024185359425011,4,4,0.9184771676276685,2,0,0.1405047057619635,2,1.3104046299391356,2,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
1,0.34807303810302276,2,0,-0.8463227793722249,0,1,0.9184771676276685,2,0,-1.6724592395536968,1,-0.8516076148303452,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-0.5001959418393557,4,3,-0.12035471013507469,0,3,-0.8701833340815202,1,1,0.1405047057619635,2,-1.0317753018944686,0,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
3,-0.7829522684868152,4,9,-0.8175036310660242,4,4,0.9184771676276685,2,0,1.0469866784197936,3,1.9409915346635678,2,0,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
0,0.34807303810302276,2,3,0.44321974563062727,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.7615237712982834,1,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-1.0657085951342746,2,0,-0.24889726051669991,2,4,-0.8701833340815202,2,0,1.0469866784197936,3,1.4004884734711975,2,2,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
3,0.34807303810302276,2,4,-0.2992164083529233,2,4,0.024146916773074168,2,0,-0.7659772668958666,2,-0.040853023041789824,0,1,1.054769788484074,2,0.0,1,1.5275252316519468,0
1,0.6308293647504822,2,9,0.3951878317869595,0,2,0.9184771676276685,2,0,-0.7659772668958666,2,0.04923082049027188,2,1,-0.7149781787710835,2,0.0,1,1.5275252316519468,0
3,2.0446109979877796,4,1,2.210050824030021,1,2,-0.8701833340815202,1,0,1.0469866784197936,2,-1.0317753018944686,0,0,1.054769788484074,1,0.0,0,1.5275252316519468,0
0,2.0446109979877796,2,3,2.209879281480579,0,3,-0.8701833340815202,2,2,1.0469866784197936,1,0.8599854122788272,2,2,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-0.7829522684868152,4,0,-0.7118334206099551,0,4,0.9184771676276685,2,0,-1.6724592395536968,0,0.22939850755439528,2,1,1.054769788484074,1,0.0,0,-0.6546536707079773,0
3,0.34807303810302276,2,0,-0.3641738537415026,4,1,0.9184771676276685,2,0,-1.6724592395536968,1,1.6707400040673825,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
1,-1.0657085951342746,2,0,-0.6871312934903545,4,1,0.9184771676276685,2,0,-0.7659772668958666,0,-0.040853023041789824,2,1,-0.7149781787710835,0,0.0,0,-0.6546536707079773,0
3,0.9135856913979418,2,1,0.8050601632529246,4,3,-0.8701833340815202,1,0,1.0469866784197936,1,-1.0317753018944686,1,0,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
1,-0.5944480507218421,2,9,-0.7507163984834004,2,4,-1.7645135849361147,3,0,-0.7659772668958666,0,-0.040853023041789824,2,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
3,-1.4427170306642207,2,9,0.18156017688226567,0,3,-1.7645135849361147,2,0,1.0469866784197936,0,2.6166203611540304,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
1,-0.8772043773693017,3,4,0.7867622913124798,0,3,-0.8701833340815202,2,0,1.0469866784197936,1,1.4004884734711975,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,-0.9714564862517882,2,4,-0.3367270458308353,0,4,0.024146916773074168,2,0,1.0469866784197936,0,1.4905723170032592,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
0,2.0446109979877796,2,1,0.7945388868871688,0,3,0.9184771676276685,2,0,0.1405047057619635,1,-0.8516076148303452,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-0.21743961519189622,2,9,-0.6784398043186433,1,2,0.024146916773074168,1,0,1.0469866784197936,1,-1.0317753018944686,2,0,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
3,-0.5001959418393557,1,4,-0.6779823575201321,1,4,0.9184771676276685,2,0,1.0469866784197936,2,-0.13093686657385153,0,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
0,1.8561067802228066,4,7,1.348049513085626,0,2,0.9184771676276685,2,0,0.1405047057619635,3,-0.7615237712982834,0,1,-0.7149781787710835,2,0.0,1,1.5275252316519468,0
3,-0.21743961519189622,4,4,-0.8609610769245808,4,2,0.9184771676276685,2,0,0.1405047057619635,1,-0.5813560842341601,2,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
1,-0.7829522684868152,2,0,-0.8362589498049802,0,4,-1.7645135849361147,0,0,-1.6724592395536968,0,0.950069255810889,2,0,1.054769788484074,2,0.0,0,1.5275252316519468,0
0,-0.21743961519189622,2,3,-0.1793653471430094,3,2,0.9184771676276685,2,0,-0.7659772668958666,2,-0.6714399277662217,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-1.3484649217817342,4,4,-1.0755036254262968,4,4,0.9184771676276685,2,0,1.0469866784197936,3,0.04923082049027188,2,2,1.054769788484074,2,0.0,0,-0.6546536707079773,0
3,-0.9714564862517882,2,1,-0.09290790222440738,1,2,-1.7645135849361147,2,1,-0.7659772668958666,0,-0.31110455363797496,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,-1.0657085951342746,2,4,-0.7708440576178898,0,1,0.024146916773074168,1,0,1.0469866784197936,1,-1.211942988958592,2,0,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
3,1.4790983446928607,2,7,2.210050824030021,4,2,-0.8701833340815202,2,0,1.0469866784197936,3,-0.040853023041789824,2,2,-0.7149781787710835,1,0.0,1,-0.6546536707079773,0
0,0.34807303810302276,2,4,-0.4867695957424832,0,2,-0.8701833340815202,2,0,1.0469866784197936,0,-1.3020268324906537,2,0,-0.7149781787710835,1,0.0,0,1.5275252316519468,0
0,0.34807303810302276,2,1,-0.058141945537562134,0,2,0.024146916773074168,2,2,1.0469866784197936,3,2.481494595855938,0,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
1,-0.21743961519189622,2,9,-0.19629087868792092,1,2,0.9184771676276685,2,0,1.0469866784197936,2,-0.13093686657385153,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,1.4790983446928607,4,9,1.4880282334300294,4,4,0.9184771676276685,2,0,1.0469866784197936,0,0.04923082049027188,2,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
3,1.4790983446928607,3,4,0.6458686773710542,0,2,0.9184771676276685,2,0,-0.7659772668958666,2,-0.8516076148303452,2,1,1.054769788484074,3,0.0,1,1.5275252316519468,0
3,1.4790983446928607,2,9,1.9935069457848187,4,4,0.024146916773074168,2,0,-0.7659772668958666,1,0.13931466402233358,2,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
3,0.34807303810302276,3,0,-1.0677270298516077,4,4,0.9184771676276685,3,0,1.0469866784197936,2,1.6707400040673825,2,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
0,-0.028935397426923224,2,3,-0.38384406607748084,4,3,0.9184771676276685,2,0,1.0469866784197936,2,0.319482351086457,2,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
0,-0.21743961519189622,1,3,-0.68530150629631,0,2,0.9184771676276685,2,0,0.1405047057619635,2,0.7699015687467655,0,1,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
1,-0.21743961519189622,2,1,2.210050824030021,0,0,0.024146916773074168,1,0,1.0469866784197936,3,0.22939850755439528,2,2,-0.7149781787710835,3,0.0,1,1.5275252316519468,0
3,-0.7829522684868152,4,4,-0.5110142760635726,0,4,-0.8701833340815202,2,0,-0.7659772668958666,3,-0.8516076148303452,2,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
0,1.1963420180454012,4,3,0.5626133600420301,2,2,-1.7645135849361147,1,0,1.0469866784197936,2,-1.1218591454265303,2,1,1.054769788484074,2,0.0,0,1.5275252316519468,0
0,-0.4059438329568692,4,0,-0.19491853829238753,0,4,-0.8701833340815202,2,2,1.0469866784197936,1,0.6798177252147038,0,0,-0.7149781787710835,2,0.0,1,1.5275252316519468,0
0,-1.3484649217817342,4,0,-1.091056816575675,3,3,0.024146916773074168,1,0,1.0469866784197936,0,0.319482351086457,2,1,1.054769788484074,1,0.0,1,-0.6546536707079773,0
3,0.34807303810302276,2,1,0.19985804882271052,1,3,0.024146916773074168,1,0,1.0469866784197936,2,-1.1218591454265303,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
1,0.9135856913979418,4,0,0.9985601590231291,0,0,0.9184771676276685,3,0,-0.7659772668958666,2,-0.6714399277662217,2,1,1.054769788484074,3,0.0,0,1.5275252316519468,0
3,-1.3484649217817342,4,4,-0.7635249088417119,0,2,-1.7645135849361147,1,0,-1.6724592395536968,2,-0.6714399277662217,2,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
3,1.4790983446928607,2,3,0.1362729438296646,0,2,0.9184771676276685,1,0,-0.7659772668958666,2,-0.6714399277662217,2,1,-0.7149781787710835,3,0.0,1,1.5275252316519468,0
3,-0.5001959418393557,2,4,-0.8408334177900915,2,4,0.9184771676276685,2,0,0.1405047057619635,1,1.0401530993429506,1,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
1,-0.7829522684868152,2,0,-1.0132908608287843,1,1,0.9184771676276685,1,0,-0.7659772668958666,1,-1.1218591454265303,0,1,-0.7149781787710835,1,0.0,0,1.5275252316519468,0
0,-0.7829522684868152,2,3,-0.8060674611032462,0,2,0.9184771676276685,2,2,-1.6724592395536968,1,-1.3020268324906537,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
3,-0.7829522684868152,4,3,-0.820248311857091,0,1,-0.8701833340815202,1,0,1.0469866784197936,1,-1.211942988958592,2,0,1.054769788484074,1,0.0,0,-0.6546536707079773,0
0,0.9135856913979418,2,4,-0.24203555853903308,0,4,-1.7645135849361147,2,2,0.1405047057619635,1,0.319482351086457,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-0.7829522684868152,2,9,-0.9035036291861152,0,2,-0.8701833340815202,3,0,-0.7659772668958666,0,-0.8516076148303452,2,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,1
3,1.4790983446928607,2,4,0.3585920879060698,4,4,-0.8701833340815202,1,0,1.0469866784197936,0,0.8599854122788272,2,1,-0.7149781787710835,1,0.0,1,-0.6546536707079773,0
3,-0.21743961519189622,2,4,-0.7072589526248438,0,2,0.9184771676276685,2,0,-0.7659772668958666,3,-0.31110455363797496,2,2,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
0,0.9135856913979418,2,3,-0.2950993871663232,0,3,0.9184771676276685,1,0,1.0469866784197936,0,-1.1218591454265303,2,0,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
1,-0.5001959418393557,3,6,-0.704056825035266,3,2,0.024146916773074168,3,0,0.1405047057619635,1,2.3013269087918147,1,1,1.054769788484074,2,0.0,0,1.5275252316519468,0
0,-0.7829522684868152,2,3,2.2021026859058903,0,4,0.9184771676276685,2,0,1.0469866784197936,3,1.5806561605353209,2,2,-0.7149781787710835,3,0.0,1,1.5275252316519468,0
1,-0.21743961519189622,4,9,0.24651762227084495,0,0,0.024146916773074168,3,0,0.1405047057619635,2,0.4095661946185187,2,1,2.824517755739232,0,0.0,1,-0.6546536707079773,0
0,0.34807303810302276,1,3,0.1362729438296646,2,1,0.9184771676276685,2,0,1.0469866784197936,3,-0.49127224070209835,2,2,-0.7149781787710835,2,0.0,1,1.5275252316519468,0
0,-0.21743961519189622,2,1,2.0401665192329532,4,4,-1.7645135849361147,2,0,1.0469866784197936,1,1.4004884734711975,2,2,-0.7149781787710835,2,0.0,1,1.5275252316519468,0
0,1.4790983446928607,2,1,1.1170388798375097,0,4,-0.8701833340815202,2,0,1.0469866784197936,3,0.5897338816826421,2,2,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,-0.21743961519189622,2,9,-0.5036951272873947,0,3,0.9184771676276685,2,0,-1.6724592395536968,2,-0.13093686657385153,1,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
2,-0.7829522684868152,3,0,-0.3678334281295916,0,2,-0.8701833340815202,1,0,-0.7659772668958666,2,0.04923082049027188,1,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
3,1.1963420180454012,3,9,-0.1313334332993416,0,2,-0.8701833340815202,1,0,-0.7659772668958666,2,-0.8516076148303452,2,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
1,0.9135856913979418,3,4,-0.5178759780412395,1,1,0.9184771676276685,2,0,0.1405047057619635,3,-0.49127224070209835,1,1,1.054769788484074,3,0.0,0,1.5275252316519468,0
3,-1.0657085951342746,2,3,-0.7950887379389793,0,4,-1.7645135849361147,2,0,1.0469866784197936,2,-1.3921106760227153,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
1,1.4790983446928607,2,1,1.7826239716711918,0,2,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.040853023041789824,2,0,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
0,-0.7829522684868152,2,3,-0.8092695886928241,0,2,-0.8701833340815202,1,0,1.0469866784197936,2,-1.3921106760227153,2,0,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
3,0.34807303810302276,3,0,-0.46618448980948274,0,4,0.9184771676276685,2,0,1.0469866784197936,3,2.211243065259753,2,2,1.054769788484074,2,0.0,1,-0.6546536707079773,0
3,-0.7829522684868152,2,0,-0.5338866159891288,0,4,0.9184771676276685,2,0,1.0469866784197936,2,0.319482351086457,2,1,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
0,0.9135856913979418,2,3,0.26115591982320085,3,4,0.9184771676276685,1,0,1.0469866784197936,1,1.9409915346635678,2,0,1.054769788484074,2,0.0,1,-0.6546536707079773,0
1,-0.7829522684868152,4,0,-0.9574823514104275,0,3,-0.8701833340815202,2,0,0.1405047057619635,0,1.0401530993429506,2,1,1.054769788484074,1,0.0,0,-0.6546536707079773,0
3,1.4790983446928607,4,1,1.2167622819129342,3,4,0.9184771676276685,2,0,-0.7659772668958666,2,0.22939850755439528,2,1,1.054769788484074,3,0.0,1,-0.6546536707079773,0
3,0.34807303810302276,2,4,0.26069847302468974,1,4,-0.8701833340815202,2,0,1.0469866784197936,2,-0.4011883971700366,2,1,1.054769788484074,2,0.0,0,1.5275252316519468,0
0,0.34807303810302276,0,3,0.4843899574966283,0,4,0.024146916773074168,2,0,1.0469866784197936,3,-1.1218591454265303,0,0,1.054769788484074,2,0.0,0,1.5275252316519468,0
1,-0.7829522684868152,2,4,-0.05539726474649541,0,3,-0.8701833340815202,1,0,-1.6724592395536968,0,-0.7615237712982834,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,-0.7829522684868152,2,4,-0.7104610802144218,0,2,0.9184771676276685,1,0,-1.6724592395536968,2,-1.1218591454265303,0,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
3,0.34807303810302276,4,4,-0.21641853782241027,3,4,-0.8701833340815202,2,0,-0.7659772668958666,2,-0.13093686657385153,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,0.34807303810302276,1,2,-0.7745036320059788,4,4,0.9184771676276685,2,0,0.1405047057619635,2,0.4095661946185187,1,1,-0.7149781787710835,3,0.0,1,1.5275252316519468,0
1,1.4790983446928607,2,7,-0.3559398113683024,0,3,0.024146916773074168,2,0,-1.6724592395536968,2,-0.31110455363797496,2,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
1,-0.7829522684868152,4,0,0.03334741416466221,0,1,-1.7645135849361147,2,0,0.1405047057619635,0,1.220320786407074,0,1,1.054769788484074,1,0.0,0,-0.6546536707079773,0
1,-0.7829522684868152,0,3,-0.03755683960456166,0,1,0.9184771676276685,1,0,0.1405047057619635,1,-0.9416914583624069,2,0,1.054769788484074,2,0.0,0,1.5275252316519468,0
2,-0.7829522684868152,2,3,-0.7443121433042448,4,4,0.024146916773074168,1,0,1.0469866784197936,0,1.7608238475994442,2,1,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
3,0.34807303810302276,2,1,-0.17433343235938706,0,4,0.9184771676276685,2,0,1.0469866784197936,2,-0.040853023041789824,2,1,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
3,-1.0657085951342746,2,4,-0.7196100161846442,0,3,0.9184771676276685,2,0,-0.7659772668958666,2,-1.211942988958592,2,1,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
3,-0.21743961519189622,4,1,0.08137932800832999,4,0,-0.8701833340815202,2,0,1.0469866784197936,3,0.22939850755439528,2,1,-0.7149781787710835,3,0.0,1,-0.6546536707079773,0
1,2.0446109979877796,1,9,1.539262274863275,0,4,0.9184771676276685,1,0,0.1405047057619635,3,2.121159221727691,2,0,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
0,0.6308293647504822,0,9,1.0255495201352853,0,0,-0.8701833340815202,2,0,1.0469866784197936,1,1.3104046299391356,1,1,1.054769788484074,2,0.0,1,1.5275252316519468,0
1,0.9135856913979418,2,3,0.3572197475105364,0,1,-0.8701833340815202,3,0,-1.6724592395536968,1,-1.211942988958592,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,1.4790983446928607,4,3,1.0612303704191528,0,2,0.024146916773074168,2,2,-0.7659772668958666,1,-0.6714399277662217,2,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
2,0.34807303810302276,4,0,-0.7809078871851345,4,3,0.9184771676276685,2,0,-0.7659772668958666,0,0.13931466402233358,0,1,1.054769788484074,1,0.0,0,1.5275252316519468,0
3,2.0446109979877796,4,3,0.453283575197872,2,2,0.9184771676276685,2,0,1.0469866784197936,0,0.04923082049027188,2,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
0,-0.21743961519189622,2,4,0.2094644315914441,0,3,0.9184771676276685,1,2,-1.6724592395536968,0,-0.9416914583624069,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
2,-0.5001959418393557,4,1,-0.3161419398978348,2,2,-0.8701833340815202,2,0,-0.7659772668958666,2,0.04923082049027188,2,1,-0.7149781787710835,2,0.0,1,-0.6546536707079773,0
1,-0.21743961519189622,2,4,0.07406017923215205,2,1,-1.7645135849361147,3,0,0.1405047057619635,0,-0.9416914583624069,2,0,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
1,-1.3484649217817342,3,0,-0.8426632049841359,0,0,0.9184771676276685,2,0,1.0469866784197936,1,1.0401530993429506,2,1,-0.7149781787710835,3,0.0,1,1.5275252316519468,0
0,-1.3484649217817342,1,7,-0.8476951197677582,0,4,0.9184771676276685,1,0,1.0469866784197936,3,-0.040853023041789824,2,2,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
3,-0.21743961519189622,2,3,-0.4881419361380166,0,2,0.9184771676276685,2,0,1.0469866784197936,3,1.0401530993429506,0,2,1.054769788484074,2,0.0,0,-0.6546536707079773,0
1,0.9135856913979418,3,9,-0.2507270477107444,1,4,0.9184771676276685,2,0,-0.7659772668958666,1,0.4996500381505804,1,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
3,0.34807303810302276,2,3,1.1252729222107098,1,2,0.9184771676276685,2,0,-1.6724592395536968,2,-0.9416914583624069,1,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,-0.7829522684868152,2,0,-0.8339717158124246,0,2,0.9184771676276685,1,0,-0.7659772668958666,0,-1.0317753018944686,2,1,-0.7149781787710835,1,0.0,0,1.5275252316519468,0
3,-1.0657085951342746,2,7,0.3572197475105364,4,4,-1.7645135849361147,2,0,1.0469866784197936,0,2.5715784393879995,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
0,-1.3484649217817342,4,4,-0.8609610769245808,4,4,0.9184771676276685,2,0,1.0469866784197936,0,2.6166203611540304,2,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
0,-0.7829522684868152,2,3,-1.071844051038208,0,2,-0.8701833340815202,2,2,0.1405047057619635,1,0.22939850755439528,2,1,-0.7149781787710835,1,0.0,0,-0.6546536707079773,0
1,2.0446109979877796,2,0,1.6051346138488765,1,3,0.024146916773074168,2,0,-0.7659772668958666,1,-1.0317753018944686,2,1,-0.7149781787710835,2,0.0,0,1.5275252316519468,0
3,0.34807303810302276,2,4,-0.6857589530948212,0,3,0.024146916773074168,2,0,-1.6724592395536968,2,-0.31110455363797496,0,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
0,0.34807303810302276,4,9,-0.7635249088417119,1,3,0.9184771676276685,2,0,-1.6724592395536968,0,-0.8516076148303452,2,1,1.054769788484074,2,0.0,1,-0.6546536707079773,0
3,-0.7829522684868152,3,1,-0.7081738462218662,0,2,0.9184771676276685,3,0,1.0469866784197936,0,0.4996500381505804,2,0,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
2,0.34807303810302276,2,4,0.9610495215452171,0,3,0.9184771676276685,2,0,-0.7659772668958666,2,-0.9416914583624069,0,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
1,-0.21743961519189622,3,0,-0.06957811550034018,4,4,0.9184771676276685,2,0,1.0469866784197936,2,0.6798177252147038,2,1,-0.7149781787710835,2,0.0,0,-0.6546536707079773,0
1,0.34807303810302276,3,3,-0.45154619225712683,0,0,0.024146916773074168,1,0,-0.7659772668958666,1,-0.13093686657385153,2,1,-0.7149781787710835,3,0.0,1,1.5275252316519468,0
0,-0.7829522684868152,4,0,-0.4254717247419929,0,2,0.9184771676276685,2,0,-0.7659772668958666,1,-0.49127224070209835,2,1,1.054769788484074,2,0.0,0,-0.6546536707079773,0
